category,MMSI,Vessel Name,IMO Number,Flag,Call Sign,Port of Registry,Owner Name,Owner Address,Operator Name,Operator Address,Infraction Links
unmatched_ais,440148090,Gangjeonho,,South Korea,,,,,,,
unmatched_ais,440404620,Gangryong 171,,South Korea,,,,,,,
unmatched_ais,440404740,Gangryong 27,,South Korea,,,,,,,
unmatched_ais,440148350,Gangseong 507,,South Korea,,,,,,,
unmatched_ais,440148340,Gangseong 508,,South Korea,,,,,,,
unmatched_ais,440117850,Geoseong 1,,South Korea,,,,,,,
unmatched_ais,440304930,Geumbok 12,,South Korea,,,,,,,
unmatched_ais,440222260,Geumchang 55,4194304,South Korea,,,,,,,
unmatched_ais,440336920,Geumchang 87,4194304,South Korea,,,,,,,
unmatched_ais,440145030,Geumgang,,South Korea,,,,,,,
unmatched_ais,440132990,Geumgwangho,,South Korea,,,,,,,
unmatched_ais,440110990,Geumhae 101,4194304,South Korea,,,,,,,
unmatched_ais,440105020,Geumhae 106,,South Korea,,,,,,,
unmatched_ais,440193680,Geumhae 201,4194304,South Korea,,,,,,,
unmatched_ais,440151080,Geumhae 208,,South Korea,,,,,,,
unmatched_ais,440199620,Geumhwa 11,,South Korea,,,,,,,
unmatched_ais,440196880,Geumhwa 3,,South Korea,,,,,,,
unmatched_ais,440412330,Geumhwa 3,,South Korea,,,,,,,
unmatched_ais,440314660,Geumhwa 6,,South Korea,,,,,,,
unmatched_ais,440107840,Geumhwa 7,,South Korea,,,,,,,
unmatched_ais,440122550,Geumjeong 3,4194304,South Korea,,,,,,,
unmatched_ais,440130510,Geumjeong 69,4194304,South Korea,,,,,,,
unmatched_ais,440156360,Geumjeong 72,4194304,South Korea,,,,,,,
unmatched_ais,440149700,Geumjung 71,4194304,South Korea,,,,,,,
unmatched_ais,440124530,Geummyeong 2,,South Korea,,,,,,,
